Cell A68: Value=25. Rooi is die Waters, Bold=False, FillType=None, Color=00000000
Cell B68: Value=25. Red is the Water, Bold=False, FillType=None, Color=00000000
Cell A69: Value=26. Fees van die Kopbeen, Bold=False, FillType=None, Color=00000000
Cell B69: Value=26. Festival of the Skull, Bold=False, FillType=None, Color=00000000
Cell A70: Value=27. Die Watermonster Brul, Bold=False, FillType=None, Color=00000000
Cell B70: Value=27. The Water Monster Roars, Bold=False, FillType=None, Color=00000000
Cell A71: Value=28. Geheim van die Berge, Bold=False, FillType=None, Color=00000000
Cell B71: Value=28. Secret of the Mountains, Bold=False, FillType=None, Color=00000000
Cell A72: Value=29. Newels van Verraad, Bold=False, FillType=None, Color=00000000
Cell B72: Value=29. Mists of Treachery, Bold=False, FillType=None, Color=00000000
Cell A73: Value=30. Bloed op die Maan, Bold=False, FillType=None, Color=00000000
Cell B73: Value=30. Blood on the Moon, Bold=False, FillType=None, Color=00000000
Cell A74: Value=31. Die Laaste Kreet, Bold=False, FillType=None, Color=00000000
Cell B74: Value=31. The last Cry, Bold=False, FillType=None, Color=00000000
Cell A75: Value=32. Die Groot Voël Sterf, Bold=False, FillType=None, Color=00000000
Cell B75: Value=32. The Great Bird Perishes, Bold=False, FillType=None, Color=00000000
Cell A76: Value=33. Geheim van die Groen Hel, Bold=False, FillType=None, Color=00000000
Cell B76: Value=33. Secret of the Green Hell, Bold=False, FillType=None, Color=00000000
Cell A77: Value=34. Spoor na die Onbekende, Bold=False, FillType=None, Color=00000000
Cell B77: Value=34. Trail to the Unknown, Bold=False, FillType=None, Color=00000000
Cell A78: Value=35. Manne van die Maan, Bold=False, FillType=None, Color=00000000
Cell B78: Value=35. Men of the Moon, Bold=False, FillType=None, Color=00000000
Cell A79: Value=36. Draer van die Bloedstene, Bold=False, FillType=None, Color=00000000
Cell B79: Value=36. Bearers of the Bloodstones, Bold=False, FillType=None, Color=00000000
Cell A80: Value=37. Die Gorillas Kom, Bold=False, FillType=None, Color=00000000
Cell B80: Value=37. The Gorillas Arrive, Bold=False, FillType=None, Color=00000000
Cell A81: Value=38. Tiere van die Heilige Woud, Bold=False, FillType=None, Color=00000000
Cell B81: Value=38. Tigers of the Sacret Forest, Bold=False, FillType=None, Color=00000000
Cell A82: Value=39. Vegters van die Slanggod, Bold=False, FillType=None, Color=00000000
Cell B82: Value=39. Warriors of the Serpent God, Bold=False, FillType=None, Color=00000000
Cell A83: Value=40. Goud en Assegaaie, Bold=False, FillType=None, Color=00000000
Cell B83: Value=40. Gold and Assegais, Bold=False, FillType=None, Color=00000000
Cell A84: Value=41. Die Jagters van Bloedeiland, Bold=False, FillType=None, Color=00000000
Cell B84: Value=41. The Hunters of Blood Island, Bold=False, FillType=None, Color=00000000
Cell A85: Value=42. Kettings in die Oerwoud, Bold=False, FillType=None, Color=00000000
Cell B85: Value=42. Chains in the Jungle, Bold=False, FillType=None, Color=00000000
Cell A86: Value=43. Oog van die Songod, Bold=False, FillType=None, Color=00000000
Cell B86: Value=43. Eye of the Sungod, Bold=False, FillType=None, Color=00000000
Cell A87: Value=44. Wraak van die Woud, Bold=False, FillType=None, Color=00000000
Cell B87: Value=44. Vengeance of the Forest, Bold=False, FillType=None, Color=00000000
Cell A88: Value=45. Bloed van die Maagd, Bold=False, FillType=None, Color=00000000
Cell B88: Value=45. Blood of the Maiden, Bold=False, FillType=None, Color=00000000
Cell A89: Value=46. Die Reus van Boendoe, Bold=False, FillType=None, Color=00000000
Cell B89: Value=46. The Giant of Boendoe, Bold=False, FillType=None, Color=00000000
Cell A90: Value=47. Vlamme van Verraad, Bold=False, FillType=None, Color=00000000
Cell B90: Value=47. Flames of Treachery, Bold=False, FillType=None, Color=00000000
Cell A91: Value=48. Monster van die Moerasse, Bold=False, FillType=None, Color=00000000
Cell B91: Value=48. Monster of the Marshes, Bold=False, FillType=None, Color=00000000
Cell A92: Value=49. Afgrond van Wraak, Bold=False, FillType=None, Color=00000000
Cell B92: Value=49. Abyss of Vengeance, Bold=False, FillType=None, Color=00000000
Cell A93: Value=50. Woud van Onheil, Bold=False, FillType=None, Color=00000000
Cell B93: Value=50. Forest of Peril, Bold=False, FillType=None, Color=00000000
Cell A94: Value=51. Vlam van Wraak, Bold=False, FillType=None, Color=00000000
Cell B94: Value=51. Flame of Vengeance, Bold=False, FillType=None, Color=00000000
Cell A95: Value=52. Sluiers oor die Woud, Bold=False, FillType=None, Color=00000000
Cell B95: Value=52. Veils over the Forest, Bold=False, FillType=None, Color=00000000
Cell A96: Value=53. Prinses van die Arende, Bold=False, FillType=None, Color=00000000
Cell B96: Value=53. Princess of the Eagles, Bold=False, FillType=None, Color=00000000
Cell A97: Value=54. Woud van Waansin, Bold=False, FillType=None, Color=00000000
Cell B97: Value=54. Forest of Madness, Bold=False, FillType=None, Color=00000000
Cell A98: Value=55. Rampokkers van die Paradys, Bold=False, FillType=None, Color=00000000
Cell B98: Value=55. Marauders of Paradise, Bold=False, FillType=None, Color=00000000
Cell A99: Value=56. Die Legende van Kumara, Bold=False, FillType=None, Color=00000000
Cell B99: Value=56. The Legend of Kumara, Bold=False, FillType=None, Color=00000000
Cell A100: Value=57. Die Monsters van Komo, Bold=False, FillType=None, Color=00000000
Cell B100: Value=57. The Monsters of Komo, Bold=False, FillType=None, Color=00000000
Cell A101: Value=58. Monsters van die Bambiberge, Bold=False, FillType=None, Color=00000000
Cell B101: Value=58. Monsters of the Bambi Mountains, Bold=False, FillType=None, Color=00000000
Cell A102: Value=59. Die Purper Arend, Bold=False, FillType=None, Color=00000000
Cell B102: Value=59. The Purple Eagle, Bold=False, FillType=None, Color=00000000
Cell A103: Value=60. Avontuur in die Kongo, Bold=False, FillType=None, Color=00000000
Cell B103: Value=60. Adventure in the Kongo, Bold=False, FillType=None, Color=00000000
Cell A104: Value=61. Moord in die Oerwoud, Bold=False, FillType=None, Color=00000000
